
%RxID  X    Y     Z  Indoor   Type   FlagsIDS (custom) : 0 Distance0 Distance1 ....
     -1.00     -1.00     -1.00     -1.00     -1.00     -1.00         0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20
       684    207.33    139.08      1.50      1.00      2.00    249.66    249.66    249.66    804.78    804.78    804.78   1046.88   1046.88   1046.88   1229.07   1229.07   1229.07   1215.32   1215.32   1215.32   1014.30   1014.30   1014.30    783.67    783.67    783.67
       685    789.79   1174.78      1.50      1.00      2.00   1415.58   1415.58   1415.58   1193.44   1193.44   1193.44    595.65    595.65    595.65    966.63    966.63    966.63    774.41    774.41    774.41   1326.22   1326.22   1326.22    423.43    423.43    423.43
       686   -950.72    536.38      1.50      1.00      2.00   1091.59   1091.59   1091.59   1506.16   1506.16   1506.16    640.62    640.62    640.62   1473.08   1473.08   1473.08    538.64    538.64    538.64    558.42    558.42    558.42   1178.43   1178.43   1178.43
       687   -198.84    370.89      1.50      0.00      2.00    420.83    420.83    420.83   1254.91   1254.91   1254.91   1420.71   1420.71   1420.71   1273.08   1273.08   1273.08    882.84    882.84    882.84    579.55    579.55    579.55    856.48    856.48    856.48
       688    453.08   1129.92      1.50      0.00      2.00   1217.37   1217.37   1217.37   1255.32   1255.32   1255.32    813.48    813.48    813.48    753.60    753.60    753.60   1079.66   1079.66   1079.66    988.93    988.93    988.93    268.01    268.01    268.01
       689   1393.15    -81.43      1.50      0.00      2.00   1395.52   1395.52   1395.52    401.49    401.49    401.49   1188.84   1188.84   1188.84    612.29    612.29    612.29    953.49    953.49    953.49    791.86    791.86    791.86   1302.09   1302.09   1302.09
       690   -672.93   1175.04      1.50      0.00      2.00   1354.09   1354.09   1354.09    645.98    645.98    645.98    882.90    882.90    882.90    873.59    873.59    873.59   1219.71   1219.71   1219.71    354.09    354.09    354.09   1212.95   1212.95   1212.95
       691    498.89   -531.96      1.50      1.00      2.00    729.29    729.29    729.29    730.82    730.82    730.82    334.09    334.09    334.09   1053.28   1053.28   1053.28   1300.56   1300.56   1300.56   1055.39   1055.39   1055.39   1299.70   1299.70   1299.70
       692    -34.46   -641.45      1.50      0.00      2.00    642.38    642.38    642.38   1482.65   1482.65   1482.65    579.74    579.74    579.74    516.89    516.89    516.89   1159.19   1159.19   1159.19   1456.63   1456.63   1456.63   1091.20   1091.20   1091.20
       693    836.81    793.73      1.50      1.00      2.00   1153.37   1153.37   1153.37    810.33    810.33    810.33    952.46    952.46    952.46   1257.30   1257.30   1257.30    667.12    667.12    667.12   1338.77   1338.77   1338.77    344.49    344.49    344.49
