%%  seed (769) : [-1625701355 1073374487 1040570380 1073072844 1614925394 1072901594 -1356829551 1073182837 -1370836337 1072777753] ...  [1073005282 5458788 1072941981 580038862 1072840649 -652454757 1992541292 825206693 -449704068 97]
%%  rxid 		 txid 	 pdpid 	  doppler 	 PowerProfile(linear) 	 DelayProfile
930 	 8	 * 0.999586 *	1	3	[0.995333 0.00466735]	 [0 1]
933 	 18	 * 0.639345 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
933 	 20	 * 0.809431 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
933 	 13	 * 0.97663 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
933 	 322	 * 0.191096 *	1	3	[1]	 [0]
935 	 0	 * 0.953684 *	1	3	[0.995333 0.00466735]	 [0 1]
935 	 18	 * 0.931849 *	1	3	[0.995333 0.00466735]	 [0 1]
935 	 20	 * 0.370214 *	1	3	[0.995333 0.00466735]	 [0 1]
935 	 19	 * 0.00095427 *	1	3	[0.995333 0.00466735]	 [0 1]
938 	 9	 * 0.152318 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
938 	 1	 * 0.880224 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
938 	 0	 * 0.329204 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
938 	 2	 * 0.146804 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
944 	 18	 * 0.0682894 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
944 	 11	 * 0.334268 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
944 	 19	 * 0.20325 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
944 	 455	 * 0.845398 *	1	3	[1]	 [0]
945 	 19	 * 0.733021 *	1	3	[0.995333 0.00466735]	 [0 1]
945 	 13	 * 0.588964 *	1	3	[0.995333 0.00466735]	 [0 1]
945 	 18	 * 0.943622 *	1	3	[0.995333 0.00466735]	 [0 1]
945 	 8	 * 0.980009 *	1	3	[0.995333 0.00466735]	 [0 1]
953 	 19	 * 0.393882 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
953 	 8	 * 0.964045 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
953 	 13	 * 0.48479 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
953 	 18	 * 0.86856 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
955 	 10	 * 0.290503 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
955 	 9	 * 0.0627581 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
955 	 15	 * 0.503688 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
955 	 11	 * 0.28683 *	1	10	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
958 	 16	 * 0.834678 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
958 	 15	 * 0.0726533 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
958 	 19	 * 0.83931 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
958 	 17	 * 0.593807 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
959 	 3	 * 0.256443 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
959 	 11	 * 0.642791 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
959 	 10	 * 0.728365 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
959 	 9	 * 0.104164 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
963 	 1	 * 0.560147 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
963 	 7	 * 0.765372 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
963 	 2	 * 0.480022 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
963 	 9	 * 0.192097 *	1	120	[0.870254 0.109559 0.0153371 0.00485003]	 [0 1 2 3]
966 	 9	 * 0.902889 *	1	30	[0.995333 0.00466735]	 [0 1]
966 	 15	 * 0.420705 *	1	30	[0.995333 0.00466735]	 [0 1]
966 	 19	 * 0.678408 *	1	30	[0.995333 0.00466735]	 [0 1]
966 	 11	 * 0.889934 *	1	30	[0.995333 0.00466735]	 [0 1]
975 	 4	 * 0.345718 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
975 	 9	 * 0.68255 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
975 	 1	 * 0.876504 *	1	3	[0.735444 0.195575 0.0673275 0.00165269]	 [0 1 3 5]
