%RELY_Rx  Es  Jmin InputSINR
2909   9.71906628e-01 2.80933719e-02 	15.3902	 15.3902
2984   9.44833300e-01 5.51666995e-02 	12.3368	 12.3368
3049   8.44633154e-01 1.55366846e-01 	7.3531	 7.3531
3080   9.32217943e-01 6.77820568e-02 	11.384	 11.384
2740   9.49313351e-01 5.06866488e-02 	12.7252	 12.7252
2785   8.32836324e-01 1.67163676e-01 	6.97418	 6.97418
2831   8.79823337e-01 1.20176663e-01 	8.64575	 8.64575
2969   8.86171432e-01 1.13828568e-01 	8.91266	 8.91266
3119   9.94536043e-01 5.46395674e-03 	22.6011	 22.6011
2791   9.75270802e-01 2.47291975e-02 	15.9592	 15.9592
2860   9.46741361e-01 5.32586389e-02 	12.4984	 12.4984
2909   9.70802962e-01 2.91970385e-02 	15.2179	 15.2179
2940   5.94886565e-01 4.05113435e-01 	1.66858	 1.66858
3013   9.72202445e-01 2.77975554e-02 	15.4375	 15.4375
3119   9.94597678e-01 5.40232249e-03 	22.6507	 22.6507
2984   9.40890358e-01 5.91096416e-02 	12.0188	 12.0188
3013   9.71755949e-01 2.82440510e-02 	15.3663	 15.3663
